Q1,Q2,Q3,Q4,Q5,Q6,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q19,Q20,Q21,Q22,Q23,Q23_6_TEXT,Q24,Q24_6_TEXT,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q34_4_TEXT,Q35,Q35_7_TEXT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I don't know,Yes,Yes,Yes,Yes,No opinion,Yes,Yes,Yes,No,,,No,,,No,,,Google,Text message to your phone,,I could not connect because I did not have my phone/secondary device,,To secure my account,,I don't know,High school diploma or GED,18-24 years old,No profession,Male,Republican,,Online news sites,
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,,,No,,,Google,"Text message to your phone,Code sent to your email,A one time passcode from an app,An “Approve” or “Deny” notification",,I could not connect because I did not have my phone/secondary device,,To secure my account,,Yes,Bachelor’s degree,25-34 years old,Government Service,Male,Democrat,,"Social Media,Online news sites,Podcasts",
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Neither,,,,,,"It takes too long to set up,I am afraid to lose access to my account",Yes,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",25-34 years old,Student,Female,Democrat,,"Social Media,TV,Printed newspapers,Online news sites,Radio,Podcasts",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,No,,,Neither,,,,,,It was hard to find in the option,Yes,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",25-34 years old,Healthcare,Male,Democrat,,"TV,Online news sites",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Google,Text message to your phone,,I could not connect because I had no cellular service/internet service,,To secure my account,,Yes,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",25-34 years old,Personal Care and Service Occupations,Female,Democrat,,"Social Media,TV,Printed newspapers",
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Google,Text message to your phone,,,,To secure my account,,No,High school diploma or GED,25-34 years old,"Production, Transportation, and Material Moving Occupations",Male,Independent,,"Social Media,Online news sites",
Yes,Yes,Yes,No,,,No,,,No,,,No,,,No,,,Neither,,,,,,I am afraid to lose access to my account,No,Associates or technical degree,25-34 years old,Business and Financial Operations Occupations,Male,Republican,,Online news sites,
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Neither,,,,,,It is was required,Yes,Associates or technical degree,25-34 years old,"Production, Transportation, and Material Moving Occupations",Male,Democrat,,Online news sites,
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Google,"Text message to your phone,Code sent to your email,A one time passcode from an app",,Time is too short to input code,,"It was required,To secure my account",,Yes,Bachelor’s degree,18-24 years old,No profession,Male,Democrat,,"Social Media,TV,Online news sites",
No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,,,No,,,No,,,Neither,,,,,,I just want to access my account,No,Bachelor’s degree,35-44 years old,"Computer, Engineering, and Science Occupations",Female,Independent,,"TV,Online news sites",
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,No,,,Both,"Text message to your phone,Code sent to your email",,I could not connect because I had no cellular service/internet service,,To secure my account,,Yes,High school diploma or GED,18-24 years old,Homemaker,Non-binary / third gender,Democrat,,"Social Media,TV,Online news sites",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Both,"Text message to your phone,Code sent to your email",,I could not connect because I did not have my phone/secondary device,,It was automatic,,Yes,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",35-44 years old,"Education, Legal, Community Service, Arts, and Media Occupations",Non-binary / third gender,Democrat,,"Social Media,TV,Printed newspapers,Online news sites,Radio,Podcasts",
Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,No,,,No,,,Neither,,,,,,"It was hard to find in the option,I just want to access my account",Yes,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",35-44 years old,"Computer, Engineering, and Science Occupations",Male,Democrat,,"Online news sites,Radio,Podcasts",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Neither,,,,,,"It was hard to find in the option,I just want to access my account,It takes too long to set up",Yes,"Some college, but no degree",18-24 years old,Student,Male,Republican,,"Social Media,TV",
No,Yes,Yes,Yes,Yes,Yes,No,,,No,,,No,,,No,,,Both,"Text message to your phone,Code sent to your email",,"I could not connect because I did not have my phone/secondary device,I could not connect because I had no cellular service/internet service,Other",It's not the most secure form of authentication.,To secure my account,,Yes,Bachelor’s degree,25-34 years old,No profession,Male,Democrat,,"Social Media,TV,Online news sites",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Google,"Text message to your phone,Code sent to your email,A one time passcode from an app,An “Approve” or “Deny” notification",,Other,No,To secure my account,,Yes,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",35-44 years old,"Computer, Engineering, and Science Occupations",Male,No preference,,"TV,Printed newspapers,Radio",
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Neither,,,,,,I just want to access my account,Yes,Bachelor’s degree,25-34 years old,Business and Financial Operations Occupations,Male,Democrat,,"Social Media,Online news sites",
I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,,,No,,,Both,"Text message to your phone,A one time passcode from an app",,It's too time consuming,,It was required,,Yes,Bachelor’s degree,18-24 years old,Sales and Office Occupations,Female,Democrat,,"Social Media,Online news sites",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Neither,,,,,,"I just want to access my account,It takes too long to set up",Yes,Bachelor’s degree,25-34 years old,"Computer, Engineering, and Science Occupations",Male,Democrat,,"Social Media,TV,Online news sites",
No,Yes,No,I don't know,,,I don't know,,,I don't know,,,I don't know,,,No,,,Neither,,,,,,"I just want to access my account,It takes too long to set up",Yes,"Some college, but no degree",18-24 years old,No profession,Female,Independent,,Other,None
Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,,,Neither,,,,,,It was hard to find in the option,No,"Some college, but no degree",35-44 years old,Homemaker,Female,Democrat,,"TV,Online news sites,Radio",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,No,,,Neither,,,,,,"I just want to access my account,It takes too long to set up,I am afraid to lose access to my account",No,Bachelor’s degree,35-44 years old,Business and Financial Operations Occupations,Female,No preference,,Online news sites,
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Both,"Text message to your phone,Code sent to your email,An “Approve” or “Deny” notification",,Time is too short to input code,,It was required,,Yes,"Some college, but no degree",25-34 years old,"Production, Transportation, and Material Moving Occupations",Male,Independent,,"Social Media,Online news sites,Podcasts",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Neither,,,,,,I just want to access my account,Yes,Associates or technical degree,65+ years old,Retired,Male,Republican,,Online news sites,
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Both,"Text message to your phone,A one time passcode from an app,An “Approve” or “Deny” notification",,"I could not connect because I did not have my phone/secondary device,I could not connect because I had no cellular service/internet service",,"It was required,To secure my account",,No,Bachelor’s degree,25-34 years old,"Education, Legal, Community Service, Arts, and Media Occupations",Male,Independent,,"Social Media,Online news sites",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't remember,No Opinion,I don't know,,,No,,,Google,"Text message to your phone,An “Approve” or “Deny” notification",,"Time is too short to input code,It's too time consuming",,"It was required,It was automatic,To secure my account",,Yes,High school diploma or GED,,Student,Male,Democrat,,"Social Media,TV,Online news sites",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Both,"Text message to your phone,A universal 2 factor security key, such as YubiKey",,Other,"No problems, there wasn't an optionfor this answern",To secure my account,,No,High school diploma or GED,45-54 years old,Homemaker,Female,Independent,,"TV,Radio,Other",Google
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Neither,,,,,,I just want to access my account,Yes,High school diploma or GED,25-34 years old,Sales and Office Occupations,Female,Democrat,,"Social Media,TV,Online news sites",
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,No,,,Both,A one time passcode from an app,,"Time is too short to input code,Other",Sometimes the codes just don't work,To secure my account,,Yes,Associates or technical degree,25-34 years old,"Production, Transportation, and Material Moving Occupations",Male,Republican,,"Social Media,TV,Online news sites,Podcasts",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Yes,Yes,Yes,Google,"A universal 2 factor security key, such as YubiKey",,I could not connect because I did not have my phone/secondary device,,To secure my account,,No,Associates or technical degree,45-54 years old,"Computer, Engineering, and Science Occupations",Male,Democrat,,"Social Media,TV,Online news sites,Podcasts",
